fault_text,label_name,split
CE:3511 B3 saloon light not working,Saloon Light,train
3622 BCP2 registered 0.11 bar @ coast.,Pressure Transducer,train
APS at front M1. Aux-On to clear fault.Fault recurred while departing all stations. Staff(CCK) chec ked and confirmed no abnormality at front M1 car. Train was reformed with T202 and withdrawn as scheduled at AMK.,Saloon CCU,train
1506 A9 saloon light not working.,Saloon Light,train
3532 PM check found oil leaking.,Air Compressor,train
Pax feedback to Staff(LKS) there was a panel dislodged in the train and almost hit him. Staff(JKN) c hecked and confirmed the gangway ceiling panel was dislodgedin between car 2521 and 2522. Pax feedback to Staff(LKS) th,Snap Pin Missing,train
TC reported front driving cab 3551 showed Rear Cab Entry is lit despite he had closed the rear parti tion door before changing end. Staff (MRB) checked and confi rmed that rear cab partition door is fully secured and locke,Partition Door Latch,train
Train doors at rear DT car 'A2' doors were not proven closed. TC recycled train doors to no avail. S taff(CTH) informed that the aforementioned doors were stuck half way and had to be pushed close. SM(CTH) updated that th,Door Roller,train
CE: 1504 A6 and 2503 B9 saloon light fau,Saloon Light,train
TC reported front DT car partition doorhandle not working.,Partition Door Handle,train
TC reported intermittent APS fault at front M2 car.,Saloon CCU,train
TC reported detainment ramp 'a' side bottom spring missing.,Detrainment Door Spring,train
TC reported suspected flat wheel at car3520. TC reported suspected flat wheel at car 3520.,Wheel Profiling,train
"Train EB tripped in Auto mode at CTH WB.TC reported TOD showed BCU fault and obstructed motion occu rred. Reset EB , ok. Fault self cleared. Proceeded in Auto m ode to next station.",ACU,train
Counter bound TC T401 reported T236 'B'side headlight faulty. T236 TC stepped out at YCK2 checked a nd confirmed 'B' side faulty headlight.,Headlight,train
snaprep: 3569 saloon warm,Recharge Freon,train
Train doors at Rear M1 car were not proven closed. TC recycled train doors once - ok. Staff(DBG) che cked and confirmed no train doors abnormalities. Fault did n ot recur at subsequent stations. Train doors at Rear M1 car,Door Roller,train
TIMS showed BCU fault at car 1569. Trainperformance - ok.,ACU,train
Staff (SBW) feedback RM1 and RM2 external door indicator light not lit up.,Exterior Door Light,train
Compressor local and train fault. MR pressure: 9 bar.,Micromesh Oil Filter,train
"TC reported intermittent BCU fault in car 3674. TC performed brake status check, no abnormalities.",Tacho,train
During DT found 2670 saloon light b side,Saloon Light Connector Loose,train
EMU 513/514-Air Leak Test Failed.,Test Point,train
CE: 2533 A6 & 3533 B2 Saloon light fault,Saloon Light,train
1647 A/C 2 Coolant Pressure Fault. To ch,Saloon CCU Copper Gasket Seal,train
555/556 Air leak test fail during DT 1.0,Test Point,train
TIMS showed car 3624 'B4' train doors fault intermittently. TC opened and closed train doors once toclear fault. Fault did not recur at subsequent stations.,Clean J Rail,train
Train doors at car 3609 'B1' door were not proven closed. TC recycled train doors once - ok. Staff(B DL) checked and confirmed no train doors abnormalities. Faul t did not recur at subsequent stations. Train doors at car 3,Door Roller,train
SnapRep reported 2536 has extremely loud,Wheel Profiling,train
"PM FOUND #1609,#2610 CHARGING RESISTORS",Charging Resistor,train
1557 #2 end PM reported G/way footplate,Gangway Footplate,train
TC reported air con blower at his cab dropped on his shoulders. Picture sent to Chief. TC reported a ir con blower at his cab dropped on his shoulders. Picture s ent to Chief.,Cab Louvre,train
3350 Air leaking from A-side horn strain,Horn Pipeline Filter,train
Snap: 1508 very stuffy seems like the ai,Saloon CCU,train
"TC reported saloon lights at Front M1 car and Front M2 car, B1 and B4 side faulty.",Saloon Light,train
569/570-Few location Bump stop clearance,Adjust Bump Stop Gap,train
"#1527,#2527,#3527,#2528 MPV C/O.",MPV,train
SnapRep reported 2522 one saloon light n,Saloon Light,train
Staff(KRJ) feedback T207 loud air discharge from undercarriage of Rear DT car. TC confirem no fault indication and MR pressure was healthy. Staff(CCK) checked a nd confirmed no abnormalities.,Micromesh Oil Filter,train
TC reported after changing end that 01 saloon light in car 3567 near B4 door was not working. TC rep orted after changing end that 01 saloon light in car 3567 ne ar B4 door was not working.,Saloon Light,train
"Staff(TAP) reported air-con water leaking at front M2 car near A4 door. Staff(TAP) arranged cleaner to clean up, but water was still dripping from the air con.",Aircon Filter,train
519/520 Air Leak test fail 1bar/5min (DT,Test Point,train
TC feedback after changing end that oneof the saloon lights in car 2545 near B1 door was not workin g. ERS-11,Saloon Light,train
"2621 B3, A3 wheel flange height fail 21 B3, A3 wheel flange height fail",Wheel Profiling,train
T434 3615(S) TC reported cab air-con was,Recharge Freon,train
#3558 A-side & B-side Obstacl Deflector,Earth Cable,train
TIMS showed Smoke External Alarm at car2687. Staff(AMK) checked and confirmed no signs of smoke or fire on exterior or interior of train. Rear T409 line clear and confirmed no abnormalities.,External Smoke Detector,train
TIMS indicated car 1565 air-con set #1 faulty. Staff (KRJ) checked and confirmed. Reset - ok. Car wa s cooling. TIMS indicated car 1565 air-con set #1 faulty. St aff (KRJ) checked and confirmed. Reset - ok. Car was cooling,Recharge Freon,train
"CE reported:
1513 Bogie No. 2 flatwheel noise.
3514 Bogie No. 1 flatwheel noise.",Wheel Profiling,train
TC after changing end reported air-con fault at rear DT car air-con unit #1. Unable to reset. Car wa s cooling.,Saloon CCU,train
TIMS showed intermittent BCU fault at car 3566. TC also feedback intermittent wheel slip slide sinceORC1.,BCU,train
TC reported while changing end saloon lights at cars 2522 B3 door and 1521 A2 door were not working.,Saloon Light,train
TC reported front DT car A2 train doorsdid not open. Staff (YWT) checked and confirmed. The faulty door was later isolated in closed position by staff (YWT).,Door Roller,train
3563-PARKING BRAKE RELEASE FAULT(FC 717),Parking Brake Release Pressure Switch,train
"1542 1-1,3542 1-1 coolant presure fault.",Recharge Freon,train
Train encountered power fault at front M1 car while departing station. Reset- ok. Fault recurred dep arting BDK WB. Unable to reset.,Traction Motor,train
Train encountered power fault at front M1 car while arriving station. Reset to no avail. Tried a fewtimes to reset at SOM NB and ORC NB also to no avail.eedback slow in powering.,Charging Resistor,train
TC reported Smoke Internal Alarm at RearM1 car. Staff (SIM) checked the train and feedback no signs of heat nor smoke. Train was escorted to terminal station.,Clean Internal Smoke Detector,train
2659 AC 2-1 Coolant pressure fault (T438,Recharge Freon,train
TC reported suspected wheel flat at front DT car. TC reported suspected wheel flat at front DT car.,Wheel Profiling,train
3552 Gangway Light Flickering. To check,Gangway Light,train
"#2645 External smoke detector fault , Un",External Smoke Detector,train
1565 CE reported A3 saloon light blown.,Saloon Light,train
TC reported TIMS showed obstacle detected at car 1616 door A1. Staff(MSP) checked and confirmed car 1616 door A1 did not opened at MSP SB.,Door Roller,train
Intermittent BCU fault for 3 consecutivestations while train is moving. Train performance - ok.,ACU,train
3551 - MICROMESH BASE AIR LEAK,Tighten Micromesh Filter,train
(RSD) 1504 A1 door air leak from door ma,Door Manifold,train
Found during DT check 3525 A/C 2 fault c,Saloon CCU,train
3714 self test fail during Dt,RIO Valve,train
"T225 3507(N) TC reported 3508, 1508 & 2508 at least 1 saloon light not working. AMK NB

CE: Found 3508-A4,1508-A4and A5,2508-A10 saloon light not working.",Saloon Light,train
"Pax feedback to staff (OTP) air-con leaking. Staff (LVR) checked and confirmed, condensation. No cle aning needed.",Change Thermostat Setting,train
TC reported air-con fault at Rear M2 car. Unable to reset. Staff(NOV) checked and confirmed that Rear M2 car set #02 air-con faulty. Unable to reset. Car was co oling.,Saloon CCU,train
TC feedback that train was jerky. Rear train reported no abnormality. SM (ADM) cab ride on T414 and reported no abnormality.,Charging Resistor,train
TC reported TIMS showedfront DT B4 door obstacle detected. Fault self cleared after train doors cl osed.,Door Roller,train
"TC reported both Front driving cab windscreens are moldy, reduce visibility. TC was still able to se e through and continue driving safely.",Clean Windscreen,train
Pax feedback to staff (BGB) Front DT A2train doors did not opened.Staff (YWT) confirmed train doo rs able to open and close but have sound and slightly shaky.Isolated train doors at WDL2,Door Roller,train
TC reported of metal sound heard from undercarriage of train. TC checked at WDL SB headwall and conf irmed no abnormalities.,Adjust Cab Door Gap to Body,train
Train encountered Brake fault at FM1. Fault self-cleared.,ACU,train
CE:3552 Cab Ac blowing warm air,Recharge Freon,train
1703 PM found charging resistor having b,Charging Resistor,train
TOCR spotted one of the headlight is notworking. Request TC to step out at MSP to check and confirm ed that 'B' side headlight was not working.,Headlight,train
3539 & 3540 IMDC: TC reported both cab w,Water Tank Sight Glass,train
#3713 wiper tank side glass crack found,Water Tank Sight Glass,train
EB trip due to obstacle detected while departing station. Reset EB and proceeded 1 tk cct in RMF mod e -ok. TC feedback no abnormalities. Rear train T221 did a l ine clear in to ORC NB platform and confirmed no abnormality,Obstacle Detector Wire,train
Train encountered power fault at car 2663 while departing station. Reset at TIB to no avail. TC feed back slow pickup. Train encountered power fault at car 2663 while departing station. Reset at TIB to no avail. TC feedba,BCH,train
TC reported that cab light toggle switchis broken,Cab Light Switch,train
SnapRep report faulty door of train 3632,Door Roller,train
2538 Abnormal BCP. Undershoot ent logs reflects abnormal BCP @ 2538 for undershoot issues. 30hrs / 1633hrs / 2226hrs.,BCU,train
TIMS showed Fire & Smoke Internal at rear M1 car. Staff(AMK) checked and confirmed no signs of smoke/ fire / burning smell on exterior or interior of train. Tr ain was escorted to terminal station.,Internal Smoke Detector,train
TC reported External Smoke Alarm at car1534. Staff(PSR) checked and feedback no sign of smoke or he at.,External Smoke Detector,train
3552 has numerous BCU release fault.,ACU,train
527/528 encountered APS fault during PM.,Diode,train
3549 Suspect WFL air hose leaking.,WFL Hose,train
3540 - MCH JAMMED DURING TRAIN PREP,Console Misaligned,train
CE reported 1521 A4 saloon lights blown,Saloon Light,train
CE reported 3525 B6 saloon light not wor,Saloon Light,train
Pax feedback to staff (TAP) that rear DTcar 'A3' train door open with loud bang.Staff (AMK) check ed and and confirmed fault. Pax feedback to staff (TAP) thatrear DT car 'A3' train door open with loud bang.Staff (AM,Door Roller,train
3670 A/C 1-2 Compressor fault. To check,Saloon CCU,train
549/550 air leak fail during dt (1.1 bar,FLMV,train
1602-A3 DOOR WOBBLING DURING CLOSING,Door Roller,train
"TIMS showed ""BCU WSP timer at rear DT"" appeared for 3sec and extinguished.",Tacho,train
531/532 Door open 2 bar/5min and door cl,Door Manifold,train
TC reported TIMS showed obstacle detected at car 3628 'A1 & B3' and 2627 'A2' door. Fault self-clear ed and did not recur at subsequent stations. Staff(YWT) chec ked and confirmed no abnormalities with all the train doors.,Door Roller,train
1504 ENCOUNTER BRAKE FAULT DURING TRAIN,ACU,train
BCU fault at RM2 car. TC put to ATPMN toclear fault.,ACU,train
T320 Cab door B side 3547 can’t open fro,Cab Door Cable,train
WILD System Triggered 3546 on A1.,Wheel Profiling,train
TC reported there was a saloon light notworking at car 3546 near A1 door.,Saloon Light,train
TC reported that cab air-con was not working. unable to reset.,Recharge Freon,train
#3607 B side cab door unable to open fro,Adjust Cab Door Magnet Switch,train
"Train unable to achieve the target speed. the speed keep dropping to zero. TC checked and confirmed no fault indicates, TC proceed in ATPM all the way to BSD. T rain unable to achieve the target speed. the speed keep drop",BCU,train
WILD triggered level 2,Wheel Profiling,train
515/516 Air leak test fail during DT.,Test Point,train
(RSD) TC reported 1683 B4 door LFF noisy,LFF,train
Pax feedback to station staff (BBT) air-con condensation in car 2716. Staff (YWT) checked the train and feedback air-con condensation at car 2716 and floor was slightly wet. Cleaner arranged at ADM SB.,Change Thermostat Setting (TIMS),train
TC reported RM2 car B1 door obstacle detected. Staff (BDL) checked no abnormalities.,Door Roller,train
1518 A2 saloon light faulty.,Saloon Light,train
Train doors at car 1708 were not provenclosed. TC recycled the train doors a few times but to no av ail. Staff(JUR) checked and confirmed that car 1708 'A4' doo rs were not proven closed due to a pen obstructing the doorw,Clean J Rail,train
Stuck brake at Rear M2 car. Operated STBS and proceeded in ATPM mode to the next station. Pax were d etrained to platform at YWT2.,BCU,train
3611 B/S door unable to close. To rectif,ZVAR-1,train
Train EB applied when departed JKN SD due to obstructed motion. TC feedback no fault indication. Res et EB - OK. Train continued in AM mode to the next station.,SR2,train
2526 (A4 / 98KN)   WILD triggered.,Wheel Profiling,train
2561 B1 wheel PM check found ST.,Wheel Profiling,train
1534 B5 saloon light not working,Saloon Light,train
IMDC(RS) informed CE reported wheel defect on front DT car. Stock change-over arranged at AMK SB as adviced.,Wheel Profiling,train
Pax feedback to Real Time Feedback dutyphone that there is an air discharge sound heard at Rear DT car. TC then feedback MR pressure at 7.8 bars when train doo rs are opened at YCK NB. Pax was disembarked at YCK NB,Test Point,train
"561/562 air leak test failed, found duri",Door T Joint Pipe,train
DURING TRAIN PREP TC REPORT #3537 EXTERN,External Smoke Detector,train
1504 A7 saloon light not working.Please,Saloon Light,train
CE:#3511 no1E ceiling condensation.,Freon Overcharge,train
TIMS showed BCU not healthy at front M2car. TC did brake status check - ok.,Speed Sensor,train
During DT found #2503 BCP 1 @ coast 0.19,ACU,train
517/518 Air leak test fail 1.0bar/5min F,Coupler Isolation Cock,train
TC reported train encountered power fault at RM1 car while arriving station. TC attempted to reset -to no avail.,Charging Resistor,train
TC reported TIMS displayed BCU fault at rear M2. Fault self-cleared,ACU,train
TC reported TIMS indicated obstacle detected at car 2613 B2 door when train doors open. SM (SBW) che cked and feedback that the affected door could not open full y and was jerky when closing. SM (SBW) isolated the door at,Door Roller,train
"Counterbound TC feedback only 1 headlight. TC step out checked and confirmed ""A"" side headlight blow n.",Headlight,train
"TIMS indicated car 3644 'B4' door obstacle detected when train doors opened. Thereafter, train doorswere not proven closed. TC opened and closed train doors on ce - ok.",Door Roller,train
1516 : BCU BCP Fault. To check & rectify,ACU,train
Snap: 1526 Train carriage is warm. Check,Saloon CCU,train
TC reported smoke external rear m2 car.Rear train T257 no abnormality. Staff (NOV) confirmed no abn ormality interior and exterior. TC reported smoke external r ear m2 car. Rear train T257 no abnormality. Staff (NOV) conf,External Smoke Detector,train
"3717-A1(x3),B1(x3),B2(x1)
1717-B1(x2),B2(x1)
2717-A2(x1),B1(x1)
2718-A1(x1),A2(x1),B1(x1),B2(x2)
1718-A1(x1),A2(x2),B1(x2),B2(x1)
3718-A1(x2),A2(x2),B1(x1),B2(x1)
Above location CCD assembly mounting washer crack during PM check.
Please check and rectify.",CCD Washer,train
3547 DC reported Cab light not working.,Cab Light,train
"521/522 Found air leak test fail, 1.0bar",Test Point,train
2647 PM check found B1-B3 BCP pressure l,ACU,train
"3570 A & B side, 2570 A & B side, 1570 Aside, 1570 A side exterior light not working",Exterior Door Light,train
3654 A/S PM checked reported wiper rubbe,Wiper,train
TIMS showed air-con fault. Staff (ORC) checked and confirmed Front M2 car #02 set faulty. Reset - ok . Car was cooling.,Recharge Freon,train
2519 Train prep reported having APS faul,Saloon CCU,train
Snap:1501 Defective air-conditioner.,Saloon CCU,train
T117 3552 cab light not working.,Cab Light,train
(SNAPREP) CE reported TIMS show #3524 un,Recharge Freon,train
IMCC: 3547 suspected wheelflat,Wheel Profiling,train
Snaprep:2536 A1-Very Severe Flatwheels n,Wheel Profiling,train
snaprep: 1719 AC condensation on ceiling,Saloon Evaporator,train
1624 wheel reprofiling,Wheel Profiling,train
"Pax feedback car 3611, 'A4' door jerky when closing. Staff(BBT) checked and confirmed door closing j erky and not smooth. Staff also mentioned 'B4' door also sho wing similar issues. No other abnormalities found Pax feedba",Door Roller,train
CE: 2687 Bogie 1 emitting wheel defect n,Wheel Profiling,train
"Pax feedback to station staff(TIB) traindoors at Rear DT car ""B3"" door did not open. Staff(TPG) che cked and confirmed door did not open. Staff assisted to isol ate train doors in closed position at CTH EB.",Door Roller,train
3685 A Side Wiper not working. To check,Wiper Engine,train
Train doors at RDT car were not proven closed. TC opened and closed a few times but fault persisted.Staff (ADM) assisted. TC did platform duty and operated the ESDC to clear fault.,Clean J Rail,train
FM1 and FM2 cars BCU fault. Fault self cleared.,ACU,train
1618 Aircon Condensation,Change Thermostat Setting,train
TC reported Battery charge loss. TC feedback there was no car indication. Staff (MSL) checked on allcars feedback no abnormalities.,Stray Voltage From Cannon Plug,train
TC spotted arching at Front M2 car undercarriage.Rear T262 did line clear feedback to sign of arch ing from the undercarriage.SM(SOM) took cab ride on T443 f eedback no sign of arching from the track side and train und,CCD Fuse,train
During train prep found 2521 No.1 end A,LED Driver,train
TC reported driving cab 3628 heavy condensation from cab air-con.,Change Thermostat Setting,train
#3539 MPV air leak found during PM check,MPV,train
707/708 Axle Bump Stop out of criteria d,Adjust Bump Stop Gap,train
"#2669 ACU heavy leak, shunting in by RSP",ACU,train
3530 PM CHECK FOUND MPV & 2530 B2 TEST P,MPV,train
Train doors at car 2527(A4) were not proven closed. TC recycled train doors once - ok. Fault did notrecur at subsequent stations.,Door Roller,train
TIMS showed Smoke Internal at car 2560.Staff(AMK) checked and confirmed no signs of smoke / fire / burning smell on exterior or interior of train. Train was es corted to terminal station.,Clean Internal Smoke Detector,train
2532 Snap rep. reported ac condensation.,Aircon Filter,train
TC reported APS fault at car 1675. Faultself cleared when train entered SBW2.,Saloon CCU,train
DT check found 1705 BCU speed sensor fau,Speed Sensor,train
Snaprep: 3560 Cabin lights faulty.,Saloon Light,train
3623 to check B side saloon and cab door,Adjust Door Gap,train
Snaprep: 3531 door A2 saloon light fault,Saloon Light,train
TC reported demister is disconnected. TCis still able to see line of sight.,Reconnect Wire,train
3518 Found no HLD card on TIMS to downlo,HLD Card,train
"2546 DT reported #2,#3,#4,#5 LFF not wor",LFF,train
T403 3534 (S) TC reported headlight faul,Headlight,train
2564-B1 having ST/TC 64-B1 having ST/TC arrange for wheel profiling,Wheel Profiling,train
Train doors at Rear M1 car 'B2' door were not proven closed. TC recycled train doors once - ok. Staf f(BNL) checked and confirmed no train doors abnormalities. F ault did not recur at subsequent stations.,Door Roller,train
TC reported that the 'A' side wiper wasinstalled in the wrong direction. Photo was sent to CC via T OCR and forwarded to IMCC(RS). Train was reformed to withdra w as scheduled to BSD after evening peak hours as advised by,Wiper,train
3665 - COUPLER HOSE LEAK,Auto Coupler Hose,train
Dt check #2534 no 1 end damper close nor,Fresh Air Damper,train
DT check found 3712 self test fail. BCU service fault bogie 1 (code:310),Gateway Valve,train
#1541 BCU fault(Train Prep).,AS Drain Valve,train
T115 encountered stuck brake at front M2while departing BDK2. STBS operated and train proceeded in ATPM to KEM2 for disembarkment.,ACU,train
TC reported cab air-con appliance fell off.,Cab Louvre,train
3656 TC reported TIMS showed Front DT(36,Door Roller,train
"TC feedback Cab air-con not working. Unable to reset. Staff(BGB) checked, car 3622 air-con set #2 wi th maint. tag, car cooling.",Saloon CCU,train
"PM checked found the following CCD assembly washers cracked.
3711 A1,B1
1711 B2
2711 B1,B2
2712 A1,B1,B2
1712 A2,B1,B2
3712 A1,B1,B2
To replace when spare are available.",CCD Washer,train
3564 Reported B/S cab door unable to lat,Cab Door Screw Missing,train
#2509 Bogie Axle 1 & 2 earth cable break,Earth Cable,train
Snap: 2511 Saloon light faulty,Saloon Light,train
CE reported 3567 A2 Saloon light not wor,Saloon Light,train
Pax feedback to Staff (SOM) Rear DT car1 saloon light not working. Staff (CTH) checked and confirme d all saloon light are working.,Saloon Light,train
3525 reported B6 saloon light faulty.,Saloon Light,train
#3618 'A1' door check.,Door Roller,train
2613 - MPV LEAK. TO REPLACE,MPV,train
"TC reported brake fault present in rearM2 car. TIMS showed 'BCU suspension fault', 'BCU command pre ssure', 'BCU fault' at bogie #1 and #2. Train performance - ok. TC reported at JUR EB, all cars have service brake excep",ACU,train
TC reported intermittent BCU fault at Rear M1 car.,ACU,train
(RSD) 2657 having BCU fault found during,ACU,train
emu1563 check and found a/c 1-1 feon low,Recharge Freon,train
"Train door not proven closed. TC recyclethrice, fault persist. Operated ADBS, DIR still lit up. tra in disembark at JUR MT. Operate DIRBS to proceed in ATPM to BSD",Tighten Cab Door Sensing Switch,train
TC reported MR pressure drop to 8.2 barwhen train was stationary at platform but MR pressure charge d up to 10 bar when train departed station. TC feedback ther e was no Compressor fault. TC feedback train encountered sim,CG,train
TC reported Front M2 car BCU fault. Train reduction in speed. TC operated STBS and proceeded in ATPMto BGB SB to disembark. SM BGB isolated Front M2 car BIC.,ACU,train
#1569 AC 1-1 Compressor Fault,Saloon CCU,train
"2501, 3501, 1502, 2502, 3502 MPV C/O",MPV,train
TC feedback after changing end that twoof the saloon lights in car 1512 was not working.,Saloon Light,train
Snap: 3558 saloon light blown,Saloon Light,train
CE: 3517 A8,Saloon Light,train
"Train encountered power fault at Rear M2car while departing station. Reset - ok. Fault recurred for Rear M2 car departing ORC, SOM . Unable to reset.",Traction Motor,train
Train encountered power fault at car 1719 while arriving station.1,Charging Resistor,train
Train door at the rear DT car not provenclosed. Opened and closed a few time to no avail. Staff(BGS ) feedback rear DT car A1 door did not open. TC tired to rec ycled train door one more time for train to depart.,Door Roller,train
Train 112 TC reported counter bound train 323 at DVR EB LHS head light not working. TC 323 checked a nd confirm. Train 112 TC reported counter bound train 323 atDVR EB LHS head light not working. TC 323 checked and confi,Headlight,train
TC reported converter train fault. Faultself-cleared. Fault repeated while departing BBT2.,Saloon CCU,train
TC reported one pair of saloon light notworking at the front M2 car. ERS-11,Saloon Light,train
During DT found EMU 527/528 Air leak Fail,Tighten Strainer Check Valve,train
2716 A/C 2-1 CCU FAN MOTOR KNOCKING SOUN,Saloon CCU Fan,train
WILD System Triggered 1682 on A4-64.,Wheel Profiling,train
TC changed end feedback two saloon lights at front M1 car near 'A3' and 'A4' doors were not working.,Saloon Light,train
"PM,#2674 NO.3",Charging Resistor,train
"#621/622 found at M-car #2621,heavy air",Auto Coupler Cylinder,train
Pax feedback car 2520 B4 door one saloonlight not working. Staff(YCK) checked and confirmed Saloon light at car 2520 A3 door not working.,Saloon Light,train
2628 A1 Main Fuse blown.,CCD Fuse,train
Train EB was applied while departing station in Auto mode. TC released EB - ok. Train proceeded in AM mode to next station.,Door Roller,train
CE: 1634 A/C #2 coolant pressure fault,Recharge Freon,train
543/544 Air leak test fail 1.1bar/5min f,Test Point,train
EMU 549/550 During DT found #2549 A/C 2-,Saloon Evaporator,train
"Train encountered power fault at rear M2car while departing station. Unable to reset YCK2, AMk2 and BSH2. TC informed train performance ok.",Charging Resistor,train
TC reported train door 'A3' at car 3644did not opened. Staff(CCK) checked and confirmed no train do ors abnormalities. Fault did not recur at subsequent station s. TC reported train door 'A3' at car 3644 did not opened. S,Door Roller,train
Train encountered power fault at Rear M2car while arriving station. Reset - ok. Fault recurred depa rting JUR2. Unable to reset at CNG2 and LKS2. TC feedback sl ow powering,Traction Motor,train
